date,0s_confirmed,0s_death,10s_confirmed,10s_death,20s_confirmed,20s_death,30s_confirmed,30s_death,40s_confirmed,40s_death,50s_confirmed,50s_death,60s_confirmed,60s_death,70s_confirmed,70s_death,80s_over_confirmed,80s_over_death
2020-04-02,112,0,515,0,2656,0,1012,1,1312,1,1851,10,1235,22,651,46,442,82
2020-04-07,126,0,544,0,2819,0,1092,1,1382,2,1909,13,1304,26,689,57,466,93
2020-04-08,126,0,548,0,2832,0,1102,1,1387,3,1915,13,1312,27,692,60,470,96
2020-04-09,128,0,552,0,2844,0,1109,1,1394,3,1917,13,1314,27,692,60,473,100
2020-04-10,129,0,553,0,2851,0,1113,1,1396,3,1920,13,1320,28,694,62,474,101
2020-04-11,130,0,558,0,2856,0,1115,1,1399,3,1926,14,1327,29,694,63,475,101
2020-04-12,130,0,561,0,2869,0,1120,1,1400,3,1930,14,1330,31,697,63,475,102
2020-04-13,132,0,562,0,2879,0,1122,1,1401,3,1932,14,1335,32,698,64,476,103
2020-04-14,132,0,565,0,2886,0,1126,1,1405,3,1935,14,1338,33,700,65,477,106
2020-04-15,132,0,569,0,2895,0,1131,1,1408,3,1937,14,1339,33,702,68,478,106
2020-04-16,135,0,572,0,2900,0,1132,1,1410,3,1940,14,1341,33,703,68,480,110
2020-04-17,136,0,576,0,2909,0,1135,1,1411,3,1942,14,1342,33,704,68,480,111
2020-04-18,138,0,576,0,2918,0,1136,1,1412,3,1944,15,1343,33,705,68,481,112
2020-04-19,138,0,578,0,2921,0,1137,2,1412,3,1945,15,1343,34,705,68,482,112
2020-04-20,138,0,581,0,2926,0,1139,2,1412,3,1948,15,1343,34,705,69,482,113
2020-04-21,138,0,582,0,2928,0,1139,2,1413,3,1951,15,1343,34,706,70,483,113
2020-04-22,138,0,583,0,2931,0,1140,2,1417,3,1951,15,1344,34,707,71,483,113
2020-04-23,138,0,584,0,2933,0,1141,2,1418,3,1952,15,1344,35,708,71,484,114
2020-04-24,138,0,585,0,2934,0,1142,2,1418,3,1953,15,1345,35,708,71,485,114
2020-04-25,139,0,586,0,2937,0,1143,2,1420,3,1953,15,1347,35,708,71,485,114
2020-04-26,141,0,586,0,2940,0,1147,2,1421,3,1953,15,1347,35,708,72,485,115
2020-04-27,140,0,588,0,2943,0,1152,2,1422,3,1953,15,1347,35,708,72,485,116
2020-04-28,140,0,590,0,2948,0,1154,2,1423,3,1955,15,1348,35,709,73,485,116
2020-04-29,140,0,590,0,2951,0,1156,2,1426,3,1956,15,1348,35,709,73,485,118
2020-04-30,140,0,590,0,2952,0,1158,2,1427,3,1956,15,1348,35,709,74,485,118
2020-05-01,140,0,590,0,2957,0,1159,2,1429,3,1956,15,1348,35,709,75,486,118
2020-05-02,140,0,590,0,2960,0,1160,2,1430,3,1956,15,1349,35,709,75,486,120
2020-05-03,140,0,591,0,2962,0,1163,2,1432,3,1956,15,1351,35,710,75,488,120
2020-05-04,140,0,591,0,2964,0,1164,2,1435,3,1956,15,1353,36,710,76,488,120
2020-05-05,140,0,591,0,2964,0,1165,2,1436,3,1957,15,1353,36,710,76,488,122
2020-05-06,140,0,591,0,2964,0,1166,2,1436,3,1957,15,1354,36,710,77,488,122
2020-05-07,140,0,592,0,2966,0,1167,2,1436,3,1957,15,1354,37,710,77,488,122
2020-05-08,141,0,592,0,2967,0,1174,2,1438,3,1957,15,1355,37,710,77,488,122
2020-05-09,141,0,594,0,2979,0,1177,2,1438,3,1958,15,1355,37,710,77,488,122
2020-05-10,141,0,597,0,2998,0,1180,2,1442,3,1960,15,1357,37,711,77,488,122
2020-05-11,141,0,598,0,3019,0,1188,2,1446,3,1960,15,1358,37,711,77,488,122
2020-05-12,142,0,602,0,3029,0,1194,2,1448,3,1963,15,1358,37,711,77,489,124
2020-05-13,143,0,603,0,3042,0,1199,2,1450,3,1964,15,1359,37,712,77,490,125
2020-05-14,143,0,614,0,3056,0,1202,2,1451,3,1964,15,1359,38,712,77,490,125
2020-05-15,145,0,617,0,3066,0,1207,2,1453,3,1965,15,1361,38,714,77,490,125
2020-05-16,147,0,619,0,3074,0,1209,2,1454,3,1966,15,1364,38,714,77,490,127
2020-05-17,147,0,620,0,3079,0,1211,2,1457,3,1967,15,1364,38,715,77,490,127
2020-05-18,147,0,621,0,3082,0,1215,2,1462,3,1968,15,1365,38,715,78,490,127
2020-05-19,148,0,621,0,3087,0,1215,2,1462,3,1971,15,1368,38,716,78,490,127
2020-05-20,148,0,627,0,3100,0,1219,2,1468,3,1972,15,1369,38,717,78,490,127
2020-05-21,148,0,631,0,3103,0,1221,2,1471,3,1972,15,1369,38,717,78,490,128
2020-05-23,149,0,634,0,3113,0,1231,2,1474,3,1983,15,1372,39,718,78,491,129
2020-05-24,149,0,636,0,3117,0,1235,2,1481,3,1987,15,1375,39,719,78,491,129
2020-05-25,149,0,637,0,3120,0,1238,2,1483,3,1992,15,1377,39,719,79,491,129
2020-05-26,150,0,638,0,3123,0,1242,2,1486,3,1996,15,1378,39,721,79,491,131
2020-05-27,153,0,640,0,3131,0,1248,2,1489,3,2002,15,1386,39,724,79,492,131
2020-05-28,155,0,644,0,3146,0,1274,2,1503,3,2014,15,1392,39,724,79,492,131
2020-05-29,156,0,650,0,3158,0,1283,2,1513,3,2023,15,1400,39,724,79,495,131
2020-05-30,157,0,655,0,3167,0,1285,2,1517,3,2033,15,1404,39,725,79,498,131
2020-05-31,157,0,655,0,3176,0,1292,2,1521,3,2039,15,1405,39,725,80,498,131
2020-06-02,158,0,659,0,3183,0,1299,2,1529,3,2061,15,1421,39,732,80,499,133
2020-06-03,159,0,661,0,3188,0,1305,2,1534,3,2070,15,1436,39,738,81,499,133
2020-06-04,160,0,661,0,3193,0,1308,2,1537,3,2079,15,1445,39,744,81,502,133
2020-06-05,161,0,663,0,3198,0,1310,2,1540,3,2086,15,1455,39,751,81,504,133
2020-06-06,164,0,664,0,3200,0,1316,2,1551,3,2094,15,1464,39,759,81,507,133
2020-06-07,165,0,670,0,3203,0,1322,2,1559,3,2105,15,1476,39,767,81,509,133
2020-06-08,166,0,672,0,3208,0,1324,2,1564,3,2111,15,1487,39,770,81,512,133
2020-06-09,166,0,672,0,3211,0,1326,2,1568,3,2121,15,1496,39,775,81,517,134
2020-06-10,167,0,674,0,3217,0,1335,2,1569,3,2128,15,1512,39,782,81,518,136
2020-06-11,168,0,677,0,3223,0,1345,2,1574,3,2137,15,1517,39,787,81,519,136
2020-06-12,168,0,677,0,3223,0,1345,2,1574,3,2137,15,1517,39,787,81,519,136
2020-06-13,168,0,681,0,3243,0,1354,2,1578,3,2163,15,1538,40,796,81,530,136
2020-06-14,168,0,681,0,3251,0,1357,2,1584,3,2170,15,1546,40,797,81,531,136
2020-06-16,172,0,682,0,3259,0,1366,2,1599,3,2182,15,1558,40,805,81,532,137
2020-06-17,174,0,683,0,3267,0,1380,2,1601,3,2189,15,1561,40,810,81,533,138
2020-06-18,175,0,684,0,3277,0,1384,2,1607,3,2198,15,1574,40,817,81,541,139
2020-06-19,175,0,686,0,3285,0,1393,2,1610,3,2210,15,1585,40,820,81,542,139
2020-06-20,177,0,690,0,3294,0,1406,2,1618,3,2222,15,1598,40,823,81,545,139
2020-06-21,177,0,691,0,3299,0,1416,2,1623,3,2230,15,1608,40,829,81,548,139
2020-06-22,177,0,692,0,3302,0,1420,2,1624,3,2235,15,1610,40,830,81,548,139
2020-06-23,180,0,692,0,3306,0,1429,2,1633,3,2244,15,1617,41,834,81,549,139
2020-06-24,182,0,693,0,3309,0,1444,2,1644,3,2254,15,1622,41,836,81,551,139
2020-06-25,183,0,696,0,3309,0,1453,2,1646,3,2260,15,1627,41,838,82,551,139
2020-06-26,184,0,698,0,3317,0,1463,2,1651,3,2264,15,1633,41,839,82,553,139
2020-06-27,185,0,700,0,3331,0,1473,2,1657,3,2269,15,1640,41,843,82,555,139
2020-06-28,187,0,703,0,3343,0,1485,2,1667,3,2275,15,1653,41,846,82,556,139
2020-06-29,190,0,704,0,3352,0,1490,2,1673,3,2280,15,1665,41,847,82,556,139
2020-06-30,193,0,708,0,3362,0,1496,2,1681,3,2286,15,1668,41,850,82,556,139
2020-07-01,193,0,708,0,3362,0,1496,2,1681,3,2286,15,1668,41,850,82,556,139
2020-07-02,194,0,712,0,3374,0,1515,2,1685,3,2316,15,1686,41,864,82,558,139
2020-07-03,196,0,722,0,3384,0,1525,2,1691,3,2323,15,1697,41,868,82,561,139
2020-07-04,199,0,724,0,3396,0,1541,2,1699,3,2331,15,1706,41,870,82,564,140
2020-07-05,202,0,727,0,3404,0,1550,2,1710,3,2338,15,1720,41,876,82,564,140
2020-07-06,206,0,728,0,3411,0,1560,2,1716,3,2347,15,1724,41,878,83,567,140
2020-07-07,207,0,730,0,3423,0,1566,2,1723,3,2354,15,1731,41,880,83,567,141
2020-07-08,208,0,733,0,3434,0,1577,2,1738,3,2364,15,1736,41,886,83,568,141
2020-07-09,210,0,737,0,3445,0,1584,2,1749,3,2373,15,1739,41,887,83,569,143
2020-07-10,213,0,740,0,3455,0,1593,2,1754,3,2381,15,1742,41,890,83,570,144
2020-07-11,214,0,740,0,3463,0,1599,2,1756,3,2389,15,1744,41,894,83,574,144
2020-07-12,216,0,746,0,3467,0,1612,2,1761,3,2392,15,1753,41,895,84,575,144
2020-07-13,219,0,750,0,3485,0,1627,2,1770,3,2396,15,1758,41,898,84,576,144
2020-07-14,221,0,752,0,3491,0,1632,2,1773,3,2402,15,1762,41,902,84,577,144
2020-07-15,222,0,753,0,3495,0,1640,2,1782,3,2411,15,1769,41,902,84,577,144
2020-07-16,221,0,752,0,3491,0,1632,2,1773,3,2402,15,1762,41,902,86,577,144
2020-07-17,231,0,756,0,3517,0,1669,2,1805,3,2425,15,1781,41,908,86,580,146
2020-07-18,234,0,760,0,3527,0,1674,2,1814,3,2432,16,1781,41,909,86,580,146
2020-07-19,237,0,762,0,3531,0,1684,2,1817,3,2435,16,1787,41,911,86,581,147
2020-07-20,239,0,764,0,3539,0,1688,2,1821,3,2439,16,1788,41,911,87,582,147
2020-07-21,240,0,765,0,3551,0,1696,2,1824,3,2444,16,1791,41,919,87,586,147
2020-07-22,240,0,772,0,3559,0,1704,2,1834,3,2453,16,1802,41,925,87,590,148
2020-07-23,240,0,776,0,3578,0,1707,2,1842,3,2465,16,1811,41,929,87,590,148
2020-07-24,241,0,777,0,3581,0,1712,2,1848,3,2473,16,1822,41,933,88,592,148
2020-07-25,242,0,778,0,3594,0,1750,2,1882,3,2487,16,1830,41,935,88,594,148
2020-07-26,242,0,778,0,3598,0,1763,2,1897,3,2505,16,1835,41,936,88,596,148
2020-07-27,243,0,779,0,3603,0,1770,2,1900,3,2506,16,1837,41,940,89,597,148
2020-07-28,245,0,781,0,3607,0,1774,2,1907,3,2511,16,1840,41,941,90,597,148
2020-07-29,245,0,782,0,3613,0,1790,2,1918,3,2516,16,1844,41,946,90,597,148
2020-07-30,245,0,782,0,3615,0,1796,2,1922,3,2516,16,1850,41,946,90,597,148
2020-07-31,246,0,782,0,3620,0,1809,2,1930,3,2520,16,1853,41,947,90,598,149
2020-08-01,247,0,782,0,3620,0,1819,2,1936,3,2528,16,1858,41,948,90,598,149
2020-08-02,249,0,782,0,3625,0,1826,1,1944,3,2532,13,1860,27,949,60,599,96
2020-08-03,251,0,785,0,3629,0,1829,2,1946,3,2536,16,1864,41,950,90,599,149
2020-08-04,255,0,790,0,3635,0,1834,2,1952,3,2540,16,1866,41,950,90,601,149
2020-08-05,256,0,793,0,3641,0,1841,2,1956,3,2546,16,1871,41,951,90,601,150
