date,seoul_overseas,seoul_domestic,seoul_confirmed,seoul_iso,seoul_iso_rel,seoul_death,bs_overseas,bs_domestic,bs_confirmed,bs_iso,bs_iso_rel,bs_death,tk_overseas,tk_domestic,tk_confirmed,tk_iso,tk_iso_rel,tk_death,ic_overseas,ic_domestic,ic_confirmed,ic_iso,ic_iso_rel,ic_death,kj_overseas,kj_domestic,kj_confirmed,kj_iso,kj_iso_rel,kj_death,dj_overseas,dj_domestic,dj_confirmed,dj_iso,dj_iso_rel,dj_death,ulsan_overseas,ulsan_domestic,ulsan_confirmed,ulsan_iso,ulsan_iso_rel,ulsan_death,sj_overseas,sj_domestic,sj_confirmed,sj_iso,sj_iso_rel,sj_death,gg_overseas,gg_domestic,gg_confirmed,gg_iso,gg_iso_rel,gg_death,kw_overseas,kw_domestic,kw_confirmed,kw_iso,kw_iso_rel,kw_death,cb_overseas,cb_domestic,cb_confirmed,cb_iso,cb_iso_rel,cb_death,cn_overseas,cn_domestic,cn_confirmed,cn_iso,cn_iso_rel,cn_death,jb_overseas,jb_domestic,jb_confirmed,jb_iso,jb_iso_rel,jb_death,jn_overseas,jn_domestic,jn_confirmed,jn_iso,jn_iso_rel,jn_death,kb_overseas,kb_domestic,kb_confirmed,kb_iso,kb_iso_rel,kb_death,kn_overseas,kn_domestic,kn_confirmed,kn_iso,kn_iso_rel,kn_death,jj_overseas,jj_domestic,jj_confirmed,jj_iso,jj_iso_rel,jj_death,qs_overseas,qs_domestic,qs_confirmed,qs_iso,qs_iso_rel,qs_death
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,99,0,0,0,0,0,93,0,0,1,0,0,4006,0,0,24,0,0,9,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,101,0,0,1,0,0,21,0,0,0,0,0,11,0,0,0,0,0,82,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,774,0,0,6,0,0,65,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,103,0,0,0,0,0,92,0,0,1,0,0,4327,0,0,27,0,0,9,0,0,0,0,0,14,0,0,0,0,0,16,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,110,0,0,1,0,0,23,0,0,0,0,0,12,0,0,0,0,0,86,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,861,0,0,6,0,0,74,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,105,0,0,0,0,0,95,0,0,1,0,0,4694,0,0,30,0,0,9,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,120,0,0,1,0,0,25,0,0,0,0,0,15,0,0,0,0,0,90,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,984,0,0,10,0,0,77,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,108,0,0,0,0,0,96,0,0,1,0,0,5084,0,0,31,0,0,9,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0,130,0,0,1,0,0,26,0,0,1,0,0,20,0,0,0,0,0,92,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,1049,0,0,10,0,0,82,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,120,0,0,0,0,0,97,0,0,1,0,0,5381,0,0,35,0,0,9,0,0,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,141,0,0,1,0,0,27,0,0,1,0,0,24,0,0,0,0,0,98,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,1081,0,0,12,0,0,83,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,130,0,29,0,0,0,96,0,10,0,0,0,5571,0,21,35,0,0,9,0,2,0,0,0,15,0,3,0,0,0,19,0,1,0,0,0,24,0,1,0,0,0,6,0,0,0,0,0,152,0,22,1,0,0,28,0,3,1,0,0,25,0,3,0,0,0,102,0,1,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1107,0,57,14,0,0,83,0,9,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-10,0,0,141,0,31,0,0,0,96,0,10,0,0,0,5663,0,92,38,0,0,13,0,3,0,0,0,15,0,3,0,0,0,18,0,1,0,0,0,24,0,1,0,0,0,8,0,0,0,0,0,163,0,22,1,0,0,28,0,6,1,0,0,25,0,3,0,0,0,104,0,1,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1117,0,60,14,0,0,83,0,10,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-11,0,0,193,0,37,0,0,0,98,0,21,1,0,0,5794,0,102,43,0,0,25,0,3,0,0,0,15,0,3,0,0,0,18,0,2,0,0,0,25,0,2,0,0,0,10,0,0,0,0,0,175,0,25,1,0,0,29,0,6,1,0,0,27,0,3,0,0,0,112,0,1,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1135,0,69,14,0,0,84,0,10,0,0,0,4,0,1,0,0,0,0,0,0,0
2020-03-12,0,0,212,0,38,0,0,0,99,0,29,0,0,0,5867,0,114,48,0,0,25,0,4,0,0,0,15,0,4,0,0,0,20,0,2,0,0,0,25,0,3,0,0,0,15,0,0,0,0,0,178,0,27,1,0,0,29,0,6,1,0,0,27,0,4,0,0,0,114,0,5,0,0,0,7,0,2,0,0,0,4,0,1,0,0,0,1143,0,83,16,0,0,85,0,10,0,0,0,4,0,1,0,0,0,0,0,0,0
