date,overseas,domestic,confirmed,iso,iso_rel,death
2020-02-03,0,0,0,0,0,0
2020-02-04,0,0,18,0,0,0
2020-02-05,0,0,19,0,1,0
2020-02-06,0,0,23,0,1,0
2020-02-07,0,0,24,0,2,0
2020-02-08,0,0,24,0,2,0
2020-02-09,0,0,27,0,3,0
2020-02-10,0,0,27,0,3,0
2020-02-11,0,0,28,0,4,0
2020-02-12,0,0,28,0,7,0
2020-02-13,0,0,28,0,7,0
2020-02-14,0,0,28,0,7,0
2020-02-15,0,0,28,0,9,0
2020-02-16,0,0,29,0,9,0
2020-02-17,0,0,30,0,10,0
2020-02-18,0,0,31,0,12,0
2020-02-19,0,0,51,0,16,0
2020-02-20,0,0,104,0,16,1
2020-02-21,0,0,204,0,17,1
2020-02-22,0,0,433,0,18,2
2020-02-23,0,0,602,0,18,5
2020-02-24,0,0,833,0,22,7
2020-02-25,0,0,977,0,22,10
2020-02-26,0,0,1261,0,24,12
2020-02-27,0,0,1766,0,26,13
2020-02-28,0,0,2337,0,27,13
2020-02-29,0,0,3150,0,28,17
2020-03-01,0,0,3736,0,30,18
2020-03-02,0,0,4212,4159,31,22
2020-03-03,0,0,4812,4750,34,28
2020-03-04,0,0,5328,5255,41,32
2020-03-05,0,0,5766,5643,88,35
2020-03-06,0,0,6284,6134,108,42
2020-03-07,0,0,6767,6605,118,44
2020-03-08,0,0,7134,6954,130,50
2020-03-09,0,0,7382,7165,166,51
2020-03-10,0,0,7513,7212,247,54
2020-03-11,0,0,7755,7407,288,60
2020-03-12,0,0,7869,7470,333,66
2020-03-13,0,0,7979,7402,510,67
2020-03-14,0,0,8086,7300,714,72
2020-03-15,0,0,8162,7253,834,75
2020-03-16,0,0,8236,7024,1137,75
2020-03-17,0,0,8320,6838,1401,81
2020-03-18,0,0,8413,6789,1540,84
2020-03-19,0,0,8565,6527,1947,91
2020-03-20,0,0,8652,6325,2233,94
2020-03-21,0,0,8799,6085,2612,102
2020-03-22,0,0,8897,5884,2909,104
2020-03-23,0,0,8961,5684,3166,111
2020-03-24,0,0,9037,5410,3507,120
2020-03-25,0,0,9137,5281,3730,126
2020-03-26,0,0,9241,4966,4144,131
2020-03-27,0,0,9332,4665,4528,139
2020-03-28,0,0,9478,4523,4811,144
2020-03-29,0,0,9583,4398,5033,152
2020-03-30,0,0,9661,4275,5228,158
2020-03-31,0,0,9786,4216,5408,162
2020-04-01,0,0,9887,4155,5567,165
2020-04-02,0,0,9976,3979,5828,169
2020-04-03,0,0,10062,3867,6021,174
2020-04-04,0,0,10156,3654,6325,177
2020-04-05,0,0,10237,3591,6463,183
2020-04-06,0,0,10284,3500,6598,186
2020-04-07,0,0,10331,3445,6694,192
2020-04-08,0,0,10384,3408,6776,200
2020-04-09,23,16,10423,3246,6973,204
2020-04-10,5,22,10450,3125,7117,208
2020-04-11,12,18,10480,3026,7243,211
2020-04-12,24,8,10512,2930,7368,214
2020-04-13,16,9,10537,2873,7447,217
2020-04-14,12,15,10564,2808,7534,222
2020-04-15,11,16,10591,2750,7616,225
2020-04-16,11,11,10613,2627,7757,229
2020-04-17,14,8,10635,2576,7829,230
2020-04-18,9,9,10653,2484,7937,232
2020-04-19,5,3,10661,2385,8042,234
2020-04-20,7,6,10674,2324,8114,236
2020-04-21,5,4,10683,2233,8213,237
2020-04-22,6,5,10694,2179,8277,238
2020-04-23,4,4,10702,2051,8411,240
2020-04-24,2,4,10708,1967,8501,240
2020-04-25,4,6,10718,1843,8635,240
2020-04-26,9,1,10728,1769,8717,242
2020-04-27,7,3,10738,1731,8764,243
2020-04-28,12,2,10752,1654,8854,244
2020-04-29,5,4,10761,1593,8922,246
2020-04-30,4,0,10765,1459,9059,247
2020-05-01,8,1,10774,1454,9072,248
2020-05-02,6,0,10780,1407,9123,250
2020-05-03,10,3,10793,1360,9183,250
2020-05-04,8,0,10801,1332,9217,252
2020-05-05,3,0,10804,1267,9283,254
2020-05-06,2,0,10806,1218,9333,255
2020-05-07,3,1,10810,1135,9419,256
2020-05-08,11,1,10822,1082,9484,256
2020-05-09,1,17,10840,1016,9568,256
2020-05-10,8,26,10874,1008,9610,256
2020-05-11,6,29,10909,1021,9632,256
2020-05-12,5,22,10936,1008,9670,258
2020-05-13,4,22,10962,1008,9695,259
2020-05-14,3,26,10991,969,9762,260
2020-05-15,5,22,11018,937,9821,260
2020-05-16,10,9,11037,924,9851,262
2020-05-17,7,6,11050,900,9888,262
2020-05-18,10,5,11065,898,9904,263
2020-05-19,4,9,11078,877,9938,263
2020-05-20,8,24,11110,781,10066,263
2020-05-21,2,10,11122,723,10135,264
2020-05-22,9,11,11142,716,10162,264
2020-05-23,4,19,11165,705,10194,266
2020-05-24,8,17,11190,711,10213,266
2020-05-25,3,13,11206,713,10226,267
2020-05-26,3,16,11225,681,10275,269
2020-05-27,3,37,11265,701,10295,269
2020-05-28,11,68,11344,735,10340,269
2020-05-29,3,55,11402,770,10363,269
2020-05-30,12,27,11441,774,10398,269
2020-05-31,12,15,11468,793,10405,270
2020-06-01,5,30,11503,810,10422,271
2020-06-02,2,36,11541,823,10446,272
2020-06-03,3,46,11590,850,10467,273
2020-06-04,6,33,11629,857,10499,273
2020-06-05,5,34,11668,889,10506,273
2020-06-06,8,43,11719,915,10531,273
2020-06-07,4,53,11776,951,10552,273
2020-06-08,5,33,11814,978,10563,273
2020-06-09,3,35,11852,989,10589,274
2020-06-10,7,43,11902,1015,10611,276
2020-06-11,5,40,11947,1017,10654,276
2020-06-12,13,43,12003,1057,10669,277
2020-06-13,5,44,12051,1083,10691,277
2020-06-14,3,31,12085,1090,10718,277
2020-06-15,13,24,12121,1114,10730,277
2020-06-16,13,21,12155,1117,10760,278
2020-06-17,12,31,12198,1145,10774,279
2020-06-18,8,51,12257,1177,10800,280
2020-06-19,17,32,12306,1191,10835,280
2020-06-20,31,36,12373,1237,10856,280
2020-06-21,8,40,12421,1273,10868,280
2020-06-22,6,11,12438,1277,10881,280
2020-06-23,30,16,12484,1295,10908,281
2020-06-24,20,31,12535,1324,10930,281
2020-06-25,5,23,12563,1307,10974,282
2020-06-26,12,27,12602,1148,11172,282
2020-06-27,20,31,12653,1054,11317,282
2020-06-28,22,40,12715,1069,11364,282
2020-06-29,12,30,12757,1046,11429,282
2020-06-30,20,23,12800,981,11537,282
2020-07-01,15,36,12850,955,11613,282
2020-07-02,10,44,12904,938,11684,282
2020-07-03,11,52,12967,926,11759,282
2020-07-04,27,36,13030,936,11811,283
2020-07-05,18,43,13091,976,11832,283
2020-07-06,24,24,13137,1005,11848,284
2020-07-07,24,20,13181,982,11914,285
2020-07-08,33,30,13244,989,11970,285
2020-07-09,22,28,13293,987,12019,287
2020-07-10,23,22,13338,985,12065,288
2020-07-11,15,20,13373,941,12144,288
2020-07-12,23,21,13417,950,12178,289
2020-07-13,43,19,13479,986,12204,289
2020-07-14,19,14,13512,941,12282,289
2020-07-15,28,11,13551,914,12348,289
2020-07-16,47,14,13612,925,12396,291
2020-07-17,39,21,13672,919,12460,293
2020-07-18,28,11,13711,898,12519,294
2020-07-19,13,21,13745,894,12556,295
2020-07-20,22,4,13771,903,12572,296
2020-07-21,25,20,13816,877,12643,296
2020-07-22,34,29,13879,884,12698,297
2020-07-23,20,39,13938,883,12758,297
2020-07-24,13,28,13979,864,12817,298
2020-07-25,86,27,14092,928,12866,298
2020-07-26,46,12,14150,962,12890,298
2020-07-27,16,9,14175,971,12905,299
2020-07-28,23,5,14203,896,13007,300
2020-07-29,34,14,14251,882,13069,300
